alpha,beta,m,resolution,microservice_threshold,partitions
0.0,1.0,1.0,0.0,9,"{0: ['OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'CartItem.java', 'Cart.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java'], 1: ['Order.java', 'LineItem.java', 'Account.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java'], 3: ['CartItem.java', 'Cart.java'], 4: ['Product.java', 'Item.java'], 5: ['CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java'], 6: ['Category.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java']}"
0.0,1.0,1.5,0.0,9,"{0: ['Order.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java'], 2: ['CartItem.java', 'Cart.java', 'Order.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['Item.java', 'Product.java'], 4: ['CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java'], 5: ['Category.java'], 6: ['LineItem.java', 'Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java']}"
0.0,1.0,2.0,0.0,9,"{0: ['Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'CatalogActionBean.java', 'Cart.java', 'CartItem.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'CatalogActionBean.java', 'Cart.java', 'CartItem.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java'], 3: ['ItemMapper.java', 'CatalogService.java', 'CatalogActionBean.java', 'CategoryMapper.java', 'ProductMapper.java'], 4: ['Cart.java', 'CartItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Product.java', 'Item.java'], 6: ['CategoryMapper.java', 'ProductMapper.java'], 7: ['Category.java'], 8: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Product.java', 'Item.java']}"
0.0,1.0,2.5,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'Cart.java', 'CartItem.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'OrderMapper.java', 'OrderService.java', 'LineItemMapper.java', 'SequenceMapper.java'], 1: ['Order.java', 'LineItem.java', 'Account.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Cart.java', 'CartItem.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'OrderMapper.java', 'OrderService.java', 'LineItemMapper.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'LineItemMapper.java', 'SequenceMapper.java'], 3: ['Cart.java', 'CartItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'OrderMapper.java', 'OrderService.java', 'LineItemMapper.java', 'SequenceMapper.java'], 4: ['Product.java', 'Item.java', 'LineItemMapper.java', 'SequenceMapper.java'], 5: ['CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'LineItemMapper.java', 'SequenceMapper.java'], 6: ['Category.java'], 7: ['Sequence.java', 'OrderMapper.java', 'OrderService.java', 'Product.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'LineItemMapper.java', 'SequenceMapper.java'], 8: ['LineItemMapper.java', 'SequenceMapper.java']}"
0.0,1.0,3.0,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CartItem.java', 'Cart.java', 'Item.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Category.java'], 5: ['Product.java'], 6: ['Order.java', 'LineItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CategoryMapper.java', 'Product.java', 'Order.java', 'LineItem.java']}"
0.0,1.0,3.5,0.0,9,"{0: ['CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Item.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Item.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['Category.java'], 4: ['Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Item.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Product.java']}"
0.0,1.0,4.0,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['Order.java', 'Account.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'AccountService.java', 'AccountMapper.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['LineItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'LineItem.java']}"
0.0,1.0,4.5,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'AccountService.java', 'AccountMapper.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['Item.java', 'Product.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Category.java'], 5: ['Order.java', 'LineItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'SequenceMapper.java'], 7: ['SequenceMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java']}"
0.0,1.0,5.0,0.0,9,"{0: ['CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'Item.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'Item.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['Product.java', 'Item.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Category.java'], 5: ['Order.java', 'LineItem.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CartActionBean.java', 'CartItem.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'Item.java', 'Order.java', 'LineItem.java']}"
0.1,0.9,1.0,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 1: ['AccountService.java', 'AccountMapper.java'], 2: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 3: ['CartItem.java', 'Cart.java'], 4: ['Category.java'], 5: ['Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'LineItem.java']}"
